date,heure,convocation,présent
2010-11-20,08:30,,M. Jean-Luc Blanc-Simon
2010-11-20,08:30,,M. Serge Dupouy
2010-11-20,08:30,,M. Jean-Christophe Elineau
2010-11-20,08:30,,M. Jean Fornier de Lachaux
2010-11-20,08:30,,Mme Valérie Gardeils
2010-11-20,08:30,,Mme Nelly Gillet
2010-11-20,08:30,,M. Jacques Lafitte
2010-11-20,08:30,,M. Gilles Laporte
2010-11-20,08:30,,M. Jean-Pierre Lassalle
2010-11-20,08:30,,M. Jean-Jacques Lesbats
2010-11-20,08:30,,M. Alain Marchal
2010-11-20,08:30,,M. Laurent Martinez
2010-11-20,08:30,,Mme Jessy Pean
2010-11-20,08:30,,Mme Fabienne Schaerer
2010-11-20,08:30,,Mme Angéline Sourigues
2008-03-15,09:15,,M. Jean-Luc Blanc-Simon
2008-03-15,09:15,,M. Serge Dupouy
2008-03-15,09:15,,M. Jean-Christophe Elineau
2008-03-15,09:15,,M. Jean Fornier de Lachaux
2008-03-15,09:15,,M. Michel Fourcade
2008-03-15,09:15,,Mlle Ingrid Galbert
2008-03-15,09:15,,Mme Valérie Gardeils
2008-03-15,09:15,,Mme Nelly Gillet
2008-03-15,09:15,,M. Gilles Laporte
2008-03-15,09:15,,M. Jean-Pierre Lassalle
2008-03-15,09:15,,M. Alain Marchal
2008-03-15,09:15,,M. Laurent Martinez
2008-03-15,09:15,,M. Yves Morel
2008-03-15,09:15,,Mme Fabienne Schaerer
2008-03-15,09:15,,Mme Angéline Sourigues
2011-12-12,18:30,2011-12-06,M. Jean-Luc Blanc-Simon
2011-12-12,18:30,2011-12-06,Mme Angéline Sourigues
2011-12-12,18:30,2011-12-06,M. Serge Dupouy
2011-12-12,18:30,2011-12-06,Mme Valérie Gardeils
2011-12-12,18:30,2011-12-06,Mme Nelly Gillet
2011-12-12,18:30,2011-12-06,M. Jean Fornier de Lachaux
2011-12-12,18:30,2011-12-06,M. Jean-Pierre Lassalle
2011-12-12,18:30,2011-12-06,M. Alain Marchal
2011-12-12,18:30,2011-12-06,M. Gilles Laporte
2011-12-12,18:30,2011-12-06,M. Jean-Christophe Elineau
2011-12-12,18:30,2011-12-06,M. Jacques Lafitte
2011-12-12,18:30,2011-12-06,M. Jean-Jacques Lesbats
2008-06-02,20:00,2008-05-23,M. Michel Fourcade
2008-06-02,20:00,2008-05-23,M. Yves Morel
2008-06-02,20:00,2008-05-23,M. Jean-Luc Blanc-Simon
2008-06-02,20:00,2008-05-23,Mme Angéline Sourigues
2008-06-02,20:00,2008-05-23,M. Serge Dupouy
2008-06-02,20:00,2008-05-23,M. Jean Fornier de Lachaux
2008-06-02,20:00,2008-05-23,Mlle Ingrid Galbert
2008-06-02,20:00,2008-05-23,M. Jean-Pierre Lassalle
2008-06-02,20:00,2008-05-23,Mme Fabienne Schaerer
2008-06-02,20:00,2008-05-23,M. Gilles Laporte
2008-06-02,20:00,2008-05-23,Mme Valérie Gardeils
2008-06-02,20:00,2008-05-23,M. Laurent Martinez
2008-06-02,20:00,2008-05-23,Mme Nelly Gillet
2008-04-08,18:30,2008-04-01,M. Michel Fourcade
2008-04-08,18:30,2008-04-01,M. Yves Morel
2008-04-08,18:30,2008-04-01,M. Jean-Luc Blanc-Simon
2008-04-08,18:30,2008-04-01,Mme Angéline Sourigues
2008-04-08,18:30,2008-04-01,M. Serge Dupouy
2008-04-08,18:30,2008-04-01,M. Jean Fornier de Lachaux
2008-04-08,18:30,2008-04-01,Mlle Ingrid Galbert
2008-04-08,18:30,2008-04-01,M. Jean-Pierre Lassalle
2008-04-08,18:30,2008-04-01,M. Gilles Laporte
2008-04-08,18:30,2008-04-01,Mme Valérie Gardeils
2008-04-08,18:30,2008-04-01,M. Laurent Martinez
2008-04-08,18:30,2008-04-01,M. Jean-Christophe Elineau
2008-04-08,18:30,2008-04-01,Mme Nelly Gillet
2012-12-10,18:30,2012-12-03,M. Jean-Luc Blanc-Simon
2012-12-10,18:30,2012-12-03,Mme Angéline Sourigues
2012-12-10,18:30,2012-12-03,Mme Valérie Gardeils
2012-12-10,18:30,2012-12-03,Mme Nelly Gillet
2012-12-10,18:30,2012-12-03,M. Jean Fornier de Lachaux
2012-12-10,18:30,2012-12-03,M. Jean-Pierre Lassalle
2012-12-10,18:30,2012-12-03,M. Alain Marchal
2012-12-10,18:30,2012-12-03,M. Gilles Laporte
2012-12-10,18:30,2012-12-03,M. Jean-Christophe Elineau
2012-12-10,18:30,2012-12-03,M. Jacques Lafitte
2012-12-10,18:30,2012-12-03,M. Jean-Jacques Lesbats
2012-12-10,18:30,2012-12-03,Mme Jessy Pean
2011-01-10,18:30,2011-01-05,M. Jean-Luc Blanc-Simon
2011-01-10,18:30,2011-01-05,Mme Angéline Sourigues
2011-01-10,18:30,2011-01-05,M. Serge Dupouy
2011-01-10,18:30,2011-01-05,Mme Nelly Gillet
2011-01-10,18:30,2011-01-05,M. Jean Fornier de Lachaux
2011-01-10,18:30,2011-01-05,M. Jean-Pierre Lassalle
2011-01-10,18:30,2011-01-05,Mme Fabienne Schaerer
2011-01-10,18:30,2011-01-05,M. Alain Marchal
2011-01-10,18:30,2011-01-05,M. Gilles Laporte
2011-01-10,18:30,2011-01-05,M. Jean-Christophe Elineau
2011-01-10,18:30,2011-01-05,M. Jacques Lafitte
2011-01-10,18:30,2011-01-05,M. Jean-Jacques Lesbats
2011-01-10,18:30,2011-01-05,Mme Jessy Pean
2012-06-11,20:00,2012-06-05,M. Jean-Luc Blanc-Simon
2012-06-11,20:00,2012-06-05,Mme Angéline Sourigues
2012-06-11,20:00,2012-06-05,M. Serge Dupouy
2012-06-11,20:00,2012-06-05,Mme Valérie Gardeils
2012-06-11,20:00,2012-06-05,Mme Nelly Gillet
2012-06-11,20:00,2012-06-05,M. Jean Fornier de Lachaux
2012-06-11,20:00,2012-06-05,M. Jean-Pierre Lassalle
2012-06-11,20:00,2012-06-05,Mme Fabienne Schaerer
2012-06-11,20:00,2012-06-05,M. Gilles Laporte
2012-06-11,20:00,2012-06-05,M. Jacques Lafitte
2012-06-11,20:00,2012-06-05,M. Jean-Jacques Lesbats
2012-06-11,20:00,2012-06-05,Mme Jessy Pean
2010-05-11,19:00,2010-05-05,M. Michel Fourcade
2010-05-11,19:00,2010-05-05,M. Jean-Luc Blanc-Simon
2010-05-11,19:00,2010-05-05,Mme Angéline Sourigues
2010-05-11,19:00,2010-05-05,M. Serge Dupouy
2010-05-11,19:00,2010-05-05,Mme Nelly Gillet
2010-05-11,19:00,2010-05-05,M. Jean Fornier de Lachaux
2010-05-11,19:00,2010-05-05,M. Jean-Pierre Lassalle
2010-05-11,19:00,2010-05-05,Mme Fabienne Schaerer
2010-05-11,19:00,2010-05-05,M. Gilles Laporte
2010-05-11,19:00,2010-05-05,Mme Valérie Gardeils
2010-05-11,19:00,2010-05-05,M. Jean-Christophe Elineau
2009-03-11,,2009-03-04,M. Michel Fourcade
2009-03-11,,2009-03-04,M. Jean-Luc Blanc-Simon
2009-03-11,,2009-03-04,Mme Angéline Sourigues
2009-03-11,,2009-03-04,M. Serge Dupouy
2009-03-11,,2009-03-04,M. Jean Fornier de Lachaux
2009-03-11,,2009-03-04,M. Jean-Pierre Lassalle
2009-03-11,,2009-03-04,Mme Fabienne Schaerer
2009-03-11,,2009-03-04,M. Gilles Laporte
2009-03-11,,2009-03-04,Mme Valérie Gardeils
2009-03-11,,2009-03-04,M. Laurent Martinez
2009-03-11,,2009-03-04,M. Jean-Christophe Elineau
2009-03-11,,2009-03-04,Mme Nelly Gillet
2008-09-11,20:00,2008-09-08,M. Michel Fourcade
2008-09-11,20:00,2008-09-08,M. Yves Morel
2008-09-11,20:00,2008-09-08,M. Jean-Luc Blanc-Simon
2008-09-11,20:00,2008-09-08,Mme Angéline Sourigues
2008-09-11,20:00,2008-09-08,M. Serge Dupouy
2008-09-11,20:00,2008-09-08,M. Jean Fornier de Lachaux
2008-09-11,20:00,2008-09-08,M. Jean-Pierre Lassalle
2008-09-11,20:00,2008-09-08,Mme Fabienne Schaerer
2008-09-11,20:00,2008-09-08,M. Alain Marchal
2008-09-11,20:00,2008-09-08,M. Gilles Laporte
2008-09-11,20:00,2008-09-08,Mme Valérie Gardeils
2008-09-11,20:00,2008-09-08,M. Laurent Martinez
2008-09-11,20:00,2008-09-08,M. Jean-Christophe Elineau
2012-04-12,19:00,2012-04-04,M. Jean-Luc Blanc-Simon
2012-04-12,19:00,2012-04-04,Mme Angéline Sourigues
2012-04-12,19:00,2012-04-04,M. Serge Dupouy
2012-04-12,19:00,2012-04-04,Mme Valérie Gardeils
2012-04-12,19:00,2012-04-04,Mme Nelly Gillet
2012-04-12,19:00,2012-04-04,M. Jean Fornier de Lachaux
2012-04-12,19:00,2012-04-04,M. Jean-Pierre Lassalle
2012-04-12,19:00,2012-04-04,Mme Fabienne Schaerer
2012-04-12,19:00,2012-04-04,M. Gilles Laporte
2012-04-12,19:00,2012-04-04,M. Jean-Christophe Elineau
2012-04-12,19:00,2012-04-04,M. Jacques Lafitte
2012-04-12,19:00,2012-04-04,M. Jean-Jacques Lesbats
2010-07-12,20:00,2010-07-07,M. Michel Fourcade
2010-07-12,20:00,2010-07-07,M. Jean-Luc Blanc-Simon
2010-07-12,20:00,2010-07-07,Mme Angéline Sourigues
2010-07-12,20:00,2010-07-07,M. Serge Dupouy
2010-07-12,20:00,2010-07-07,Mme Nelly Gillet
2010-07-12,20:00,2010-07-07,M. Jean Fornier de Lachaux
2010-07-12,20:00,2010-07-07,M. Jean-Pierre Lassalle
2010-07-12,20:00,2010-07-07,M. Alain Marchal
2010-07-12,20:00,2010-07-07,Mme Valérie Gardeils
2010-07-12,20:00,2010-07-07,M. Laurent Martinez
2010-07-12,20:00,2010-07-07,M. Jean-Christophe Elineau
2009-10-12,20:00,2009-10-08,M. Michel Fourcade
2009-10-12,20:00,2009-10-08,M. Jean-Luc Blanc-Simon
2009-10-12,20:00,2009-10-08,Mme Angéline Sourigues
2009-10-12,20:00,2009-10-08,M. Serge Dupouy
2009-10-12,20:00,2009-10-08,M. Jean Fornier de Lachaux
2009-10-12,20:00,2009-10-08,M. Jean-Pierre Lassalle
2009-10-12,20:00,2009-10-08,Mme Fabienne Schaerer
2009-10-12,20:00,2009-10-08,M. Alain Marchal
2009-10-12,20:00,2009-10-08,M. Gilles Laporte
2009-10-12,20:00,2009-10-08,Mme Valérie Gardeils
2009-10-12,20:00,2009-10-08,M. Laurent Martinez
2008-04-14,18:30,2008-04-10,M. Michel Fourcade
2008-04-14,18:30,2008-04-10,M. Yves Morel
2008-04-14,18:30,2008-04-10,M. Jean-Luc Blanc-Simon
2008-04-14,18:30,2008-04-10,Mme Angéline Sourigues
2008-04-14,18:30,2008-04-10,M. Serge Dupouy
2008-04-14,18:30,2008-04-10,M. Jean Fornier de Lachaux
2008-04-14,18:30,2008-04-10,M. Jean-Pierre Lassalle
2008-04-14,18:30,2008-04-10,Mme Fabienne Schaerer
2008-04-14,18:30,2008-04-10,M. Alain Marchal
2008-04-14,18:30,2008-04-10,Mme Valérie Gardeils
